Document Number,Document type,Document Date,Posting Date,Cost Center,Profit Center,Year/month,Account,Plant,Material,Quantity,Amount in local currency,Local Currency,Purchasing Document,Reference,Document currency,Offsetting acct no.,Base Unit of Measure,Alternative Account No.,Transaction Code,Text,Assignment
100000191,RI,01/04/2019,30/04/2019,,125,2019/04,20011,3YUM,30226467,-600,"-379,616",COP,4501997556,F831722791,COP,3905312,KG,14651020,MR8M,,
100000191,RI,01/04/2019,30/04/2019,,125,2019/04,20011,3YUM,30226460,-600,"-379,615",COP,4501997556,F831722791,COP,3905312,KG,14651020,MR8M,,
100000191,RI,01/04/2019,30/04/2019,,125,2019/04,20011,3YUM,30226487,-300,"-189,808",COP,4501997556,F831722791,COP,3905312,KG,14651020,MR8M,,
100000314,RI,01/07/2019,05/07/2019,,135,2019/07,20011,3YUM,30518061,"-20,000","-1,872,336",COP,4501991422,7413386,COP,3905370,KG,14651020,MR8M,,
100000325,RI,01/07/2019,16/07/2019,,125,2019/07,20011,3YUM,30226540,"-2,179.200","-756,353",COP,4502005359,7413594,COP,3905370,KG,14651020,MR8M,,
100000372,RI,11/07/2019,31/07/2019,,135,2019/07,20011,3YUM,30014113,"-1,088.640","-2,578,971",COP,4502049170,F831727897,COP,3905312,KG,14651020,MR8M,,
100000464,RI,11/09/2019,30/09/2019,,125,2019/09,20011,3YUM,35001488,"-9,180","-953,294",COP,4502076875,F831731079,COP,3905312,EA,14651020,MR8M,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30531350,"5,500","3,241,253",COP,4501866952,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30226471,"4,500","2,651,934",COP,4501866952,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30226086,"1,520","666,695",COP,4501896976,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30225604,"4,000","2,002,661",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30225604,"4,000","589,018",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226796,800,"400,532",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226796,800,"117,804",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226719,"2,400","1,201,597",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226719,"2,400","353,411",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226794,"1,600","801,064",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30226794,"1,600","235,607",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30521144,"1,600","1,225,157",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,127,2019/01,20011,3YUM,30521144,"1,600","235,607",COP,4501898304,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30226471,"4,500","2,702,394",COP,4501919571,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,131,2019/01,20011,3YUM,30513920,"3,300","1,486,317",COP,4501919571,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30226654,"4,000","4,631,075",COP,4501920115,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30226655,"1,500","1,736,653",COP,4501920115,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,112,2019/01,20011,3YUM,56220336,400,"483,700",COP,4501931802,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,135,2019/01,20011,3YUM,30019466,"2,000","2,592,195",COP,4501936793,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56231620,"1,360","203,576",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015719,634,"189,802",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56231605,"1,034","154,776",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015755,"1,848","553,238",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015769,"5,181","1,551,067",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015797,"1,797","537,971",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015803,"1,442","431,704",COP,4501941517,,COP,50320,KG,14651020,MR11,,
150000155,KP,31/01/2019,31/01/2019,,600,2019/01,20011,3YUM,56015833,"1,784","534,080",COP,4501941517,,COP,50320,KG,14651020,MR11,,
